是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1	1
23	电能表	PZ80-E3(4)/H 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
24	电能表	PZ80-E3(4)/H 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
25	电能表	PZ80L-E3 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
26	电能表	PZ80L-E3 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
27	电能表	PZ80L-E3 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
28	电能表	PZ80L-E3 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
29	电能表	PZ80L-E3 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
30	电能表	PZ80L-E3 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
31	电能表	PZ80L-E3 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
32	电能表	PZ80L-E3 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
33	电能表	PZ80L-E4 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
34	电能表	PZ80L-E4 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
35	电能表	PZ80L-E4 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
36	电能表	PZ80L-E4 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
37	电能表	PZ80L-E4 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
38	电能表	PZ80L-E4 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
39	电能表	PZ80L-E4 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
40	电能表	PZ80L-E4 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
41	电能表	PZ80L-E3(4)/H 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
42	电能表	PZ80L-E3(4)/H 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
43	电能表	PZ80L-E3(4)/H 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
44	电能表	PZ80L-E3(4)/H 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
45	电能表	PZ80L-E3(4)/H 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
46	电能表	PZ80L-E3(4)/H 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
47	电能表	PZ80L-E3(4)/H 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
48	电能表	PZ80L-E3(4)/H 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
49	电能表	PZ80-E3 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
50	电能表	PZ80-E3 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
51	电能表	PZ80-E3 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
52	电能表	PZ80-E3 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
53	电能表	PZ80-E3 输入电压AC380V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
54	电能表	PZ80-E3 输入电压AC380V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
55	电能表	PZ80-E3 输入电压AC380V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
56	电能表	PZ80-E3 输入电压AC380V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
57	电能表	PZ80-E4 输入电压AC220V 1A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
58	电能表	PZ80-E4 输入电压AC220V 1A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
59	电能表	PZ80-E4 输入电压AC220V 5A AC80-270V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
60	电能表	PZ80-E4 输入电压AC220V 5A DC100-350V+C	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	RS485-MODBUS	不选配	1路脉冲
