是否必填			1	1	1	1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接类型	过程连接尺寸	过程连接材质	额定量程	信号输出	显示及操作	电缆入口	认证	填充油	毛细管	结构材料
40	双法兰液位变送器	FMD78-ABA7F12B31AA(6m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	6m	
41	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:2m,M:3.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:2m,高压侧:3.5m	
42	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:2m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:2m	
43	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:2.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:2.5m	
44	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:3m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:3m	
45	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:3.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:3.5m	
46	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:4m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:4m	
47	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:4.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:4.5m	
48	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:5m	
49	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:5.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:5.5m	
50	双法兰液位变送器	FMD78-ABA7F15B3MAW(W:1m,M:6m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:6m	
51	双法兰液位变送器	FMD78-ABA7F15B31AA(1m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	1m	
52	双法兰液位变送器	FMD78-ABA7F15B31AA(1.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	1.5m	
53	双法兰液位变送器	FMD78-ABA7F15B31AA(2m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	2m	
54	双法兰液位变送器	FMD78-ABA7F15B31AA(2.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	2.5m	
55	双法兰液位变送器	FMD78-ABA7F15B31AA(3m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	3m	
56	双法兰液位变送器	FMD78-ABA7F15B31AA(3.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	3.5m	
57	双法兰液位变送器	FMD78-ABA7F15B31AA(4m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	4m	
58	双法兰液位变送器	FMD78-ABA7F15B31AA(4.(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	4.5m	
59	双法兰液位变送器	FMD78-ABA7F15B31AA(5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	5m	
60	双法兰液位变送器	FMD78-ABA7F15B31AA(6m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片钽	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	6m	
61	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:2m,M:3.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:2m,高压侧:3.5m	
62	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:2m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:2m	
63	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:2.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:2.5m	
64	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:3m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:3m	
65	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:3.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:3.5m	
66	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:4m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:4m	
67	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:4.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:4.5m	
68	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:5m	
69	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:5.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:5.5m	
70	双法兰液位变送器	FMD78-5BA7F11B3MAW(W:1m,M:6m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:6m	
71	双法兰液位变送器	FMD78-5BA7F11B31AA(1m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	1m	
72	双法兰液位变送器	FMD78-5BA7F11B31AA(1.(5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	1.5m	
73	双法兰液位变送器	FMD78-5BA7F11B31AA(2m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	2m	
74	双法兰液位变送器	FMD78-5BA7F11B31AA(2.(5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	2.5m	
75	双法兰液位变送器	FMD78-5BA7F11B31AA(3m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	3m	
76	双法兰液位变送器	FMD78-5BA7F11B31AA(3.(5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	3.5m	
77	双法兰液位变送器	FMD78-5BA7F11B31AA(4m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	4m	
78	双法兰液位变送器	FMD78-5BA7F11B31AA(4.(5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	4.5m	
79	双法兰液位变送器	FMD78-5BA7F11B31AA(5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	5m	
80	双法兰液位变送器	FMD78-5BA7F11B31AA(6m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	6m	
81	双法兰液位变送器	FMD78-5BA7F12B3MAW(W:2m,M:3.5m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:2m,高压侧:3.5m	
82	双法兰液位变送器	FMD78-5BA7F12B3MAW(W:1m,M:2m)	E+H	FMD78-5	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片哈氏合金C	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	ATEX II 2G Ex d IIC T6 Gb	硅油	低压侧:1m,高压侧:2m	
