			1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电气连接	防护等级	压力范围	量程	精度	过程连接	连接材质	膜片材质	填充油	附加信息
20	差压压力变送器	PMP51-AA21JB1FGCGMJA1+AK(-3~3kPa)	E+H	PMP51	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-3~3kPa		G1/2外螺纹	316L	316L	硅油	
21	差压压力变送器	PMP51-AA21JB1FGCGMJA1+AK(0~5kPa)	E+H	PMP51	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~5kPa		G1/2外螺纹	316L	316L	硅油	
22	差压压力变送器	PMP51-AA21JB1FGCGMJA1+AK(-5~5kPa)	E+H	PMP51	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-5~5kPa		G1/2外螺纹	316L	316L	硅油	
23	差压压力变送器	PMP51-AA21JB1FGCGMJA1+AK(0~10kPa)	E+H	PMP51	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~10kPa		G1/2外螺纹	316L	316L	硅油	
24	差压压力变送器	PMP51-AA21JB1FGCGMJA1+AK(-10~10kPa)	E+H	PMP51	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-10~10kPa		G1/2外螺纹	316L	316L	硅油	
25	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(0~3kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~3kPa		G1/2外螺纹	316L	316L	硅油	
26	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(-3~3kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-3~3kPa		G1/2外螺纹	316L	316L	硅油	
27	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(0~5kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~5kPa		G1/2外螺纹	316L	316L	硅油	
28	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(-5~5kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-5~5kPa		G1/2外螺纹	316L	316L	硅油	
29	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(0~10kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~10kPa		G1/2外螺纹	316L	316L	硅油	
30	差压压力变送器	PMP51-BC21JB1FGCGMJA1+AK(-10~10kPa)	E+H	PMP51	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-10~10kPa		G1/2外螺纹	316L	316L	硅油	
31	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(0~3kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~3kPa		G1/2外螺纹	316L	316L	硅油	
32	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(-3~3kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-3~3kPa		G1/2外螺纹	316L	316L	硅油	
33	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(0~5kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~5kPa		G1/2外螺纹	316L	316L	硅油	
34	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(-5~5kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-5~5kPa		G1/2外螺纹	316L	316L	硅油	
35	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(0~10kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	0~10kPa		G1/2外螺纹	316L	316L	硅油	
36	差压压力变送器	PMP51-NB21JB1FGCGMJA1+AK(-10~10kPa)	E+H	PMP51	微差压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示和设置	M20		表压400mbar	-10~10kPa		G1/2外螺纹	316L	316L	硅油	
37	差压压力变送器	EJA110E-JLS5J-919EA(0~3kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	0~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
38	差压压力变送器	EJA110E-JLS5J-919EA(-3~3kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-10~10kPa	-3~3kPa		NPT1/4内螺纹*2	316	哈氏合金C		
39	差压压力变送器	EJA110E-JMS5J-919EA(0~5kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
40	差压压力变送器	EJA110E-JMS5J-919EA(-5~5kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-5~5kPa		NPT1/4内螺纹*2	316	哈氏合金C		
41	差压压力变送器	EJA110E-JMS5J-919EA(0~10kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	0~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
42	差压压力变送器	EJA110E-JMS5J-919EA(-10~10kPa)	横河川仪	EJA110E	微差压	无认证	非防爆	4-20mA HART	本地显示和设置	M20		-100~100kPa	-10~10kPa		NPT1/4内螺纹*2	316	哈氏合金C		
