是否必填			1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	电机功率	相数及电压	通讯代号	EMC滤波器	备注
43	低压变频器	ATV630D75N4	施耐德	ATV630系列标准变频器	75kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
44	低压变频器	ATV630D90N4	施耐德	ATV630系列标准变频器	90kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
45	低压变频器	ATV630C11N4	施耐德	ATV630系列标准变频器	110kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
46	低压变频器	ATV630C13N4	施耐德	ATV630系列标准变频器	130kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
47	低压变频器	ATV630C16N4	施耐德	ATV630系列标准变频器	160kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
48	低压变频器	ATV630C22N4	施耐德	ATV630系列标准变频器	220kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
49	低压变频器	ATV630C25N4	施耐德	ATV630系列标准变频器	250kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
50	低压变频器	ATV630C31N4	施耐德	ATV630系列标准变频器	310kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
51	低压变频器	ATV930U07N4	施耐德	ATV930系列标准变频器	0.75KW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
52	低压变频器	ATV930U15N4	施耐德	ATV930系列标准变频器	1.5kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
53	低压变频器	ATV930U22N4	施耐德	ATV930系列标准变频器	2.2kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
54	低压变频器	ATV930U30N4	施耐德	ATV930系列标准变频器	3kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
55	低压变频器	ATV930U40N4	施耐德	ATV930系列标准变频器	4kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
56	低压变频器	ATV930U55N4	施耐德	ATV930系列标准变频器	5.5kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式
57	低压变频器	ATV930U75N4	施耐德	ATV930系列标准变频器	7.5kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
58	低压变频器	ATV930D11N4	施耐德	ATV930系列标准变频器	11kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
59	低压变频器	ATV930D15N4	施耐德	ATV930系列标准变频器	15kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
60	低压变频器	ATV930D18N4	施耐德	ATV930系列标准变频器	18kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
61	低压变频器	ATV930D22N4	施耐德	ATV930系列标准变频器	22kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
62	低压变频器	ATV930D30N4	施耐德	ATV930系列标准变频器	30kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
63	低压变频器	ATV930D37N4	施耐德	ATV930系列标准变频器	37kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
64	低压变频器	ATV930D45N4	施耐德	ATV930系列标准变频器	45kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
65	低压变频器	ATV930D55N4	施耐德	ATV930系列标准变频器	55kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
66	低压变频器	ATV930D75N4	施耐德	ATV930系列标准变频器	75kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
67	低压变频器	ATV930D90N4	施耐德	ATV930系列标准变频器	90kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
68	低压变频器	ATV930C11N4C	施耐德	ATV930系列标准变频器	110kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
69	低压变频器	ATV930C13N4C	施耐德	ATV930系列标准变频器	130kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
70	低压变频器	ATV930C16N4C	施耐德	ATV930系列标准变频器	160kW	三相350-480V 50/60Hz	集成MODBUS TCP/IP双口	采用集成C2类EMC滤波器	壁挂式，轻载
