œ∞πﬂ π”√≈∆∫≈	≤ƒ÷ ¥˙¬Î
TC12	3081
TC15	3082
TC16	3083
TC17	3084
TC18	3085
TC19	3086
TC20	3087
TC21	3088
TC22	3089
TC23	3090
TC24	3091
TC25	3092
TC26	3093
TC27	3094
TC28	3095
TC29	3096
TC30	3097
TC31	3098
TC32	3099
T1	4001
T2	4002
T3	4003
ZCu99	4004
H95	4005
H90	4006
H85	4007
H80	4008
H70	4009
H68	4010
H66	4011
H65	4012
H63	4013
H62	4014
H59	4015
QSn0.4	4016
QSn0.6	4017
QSN0.9	4018
QSn0.5-0.025	4019
QSn1-0.5-0.5	4020
QSn1.5-0.2	4021
QSn1.8	4022
QSn4-3	4023
QSn5-0.2	4024
QSn5-0.3	4025
QSn4-0.3	4026
QSn6-0.05	4027
QSn6.5-0.1	4028
QSn6.5-0.4	4029
QSn7-0.2	4030
QSn8-0.3	4031
QSN15-1-1	4032
QSn4-4-2.5	4033
QSn4-4-4	4034
ZCuSn3Zn8Pb6Ni1	4035
ZCuSn3Zn11Pb4	4036
ZCuSn5Zn5Pb5	4037
ZCuSn10P1	4038
ZCuSn10Pb5	4039
ZCuSn10Zn2	4040
5A05	4041
5052	4042
PMMA	5001
UHMWPE	5002
PA6	5003
PA6T	5004
PA7	5005
PA9	5006
PA11	5007
PA12	5008
PA46	5009
PA66	5010
PA610	5011
PA612	5012
PA1010	5013
PAMC	5014
PP	5015
HDPE	5016
PET	5017
PTFE	5018
RPTFE	5019
EPTFE	5020
EPE	5021
NBR2707	5022
MVQ1101	5023
FPM2462	5024
CR1223	5025
EPDM/J-3092E	5026
≈πË≤£¡ß	5027
ƒ∆≤£¡ß	5028
—“√ﬁ	5029
≤£¡ß√ﬁ	5030
πËÀ·¬¡√ﬁ	5031
œÀ‹	5032
∞Î¥÷√´	5033
304+Q235A	6001
304+Q235B	6002
304+Q235C	6003
304+Q355A	6004
304+Q355B	6005
304+Q355C	6006
304+Q245R	6007
304+Q345R	6008
304+15CrMoR	6009
304+09MnNiDR	6010
304+08AL	6011
304L+Q235A	6012
304L+Q235B	6013
304L+Q235C	6014
304L+Q355A	6015
304L+Q355B	6016
304L+Q355C	6017
304L+Q245R	6018
304L+Q345R	6019
304L+15CrMoR	6020
304L+09MnNiDR	6021
304L+08AL	6022
316+Q235A	6023
316+Q235B	6024
316+Q235C	6025
316+Q355A	6026
316+Q355B	6027
316+Q355C	6028
316+Q245R	6029
316+Q345R	6030
316+15CrMoR	6031
316+09MnNiDR	6032
316+08AL	6033
316L+Q235A	6034
316L+Q235B	6035
316L+Q235C	6036
316L+Q355A	6037
316L+Q355B	6038
316L+Q355C	6039
316L+Q245R	6040
316L+Q345R	6041
316L+15CrMoR	6042
316L+09MnNiDR	6043
316L+08AL	6044
317+Q235A	6045
317+Q235B	6046
317+Q235C	6047
317+Q355A	6048
317+Q355B	6049
317+Q355C	6050
317+Q245R	6051
317+Q345R	6052
317+15CrMoR	6053
317+09MnNiDR	6054
317+08AL	6055
317L+Q235A	6056
317L+Q235B	6057
317L+Q235C	6058
317L+Q355A	6059
317L+Q355B	6060
317L+Q355C	6061
317L+Q245R	6062
317L+Q345R	6063
317L+15CrMoR	6064
317L+09MnNiDR	6065
317L+08AL	6066
TA0+Q235A	6067
TA0+Q235B	6068
TA0+Q235C	6069
TA0+Q355A	6070
TA0+Q355B	6071
TA0+Q355C	6072
TA0+Q245R	6073
TA0+Q345R	6074
TA0+15CrMoR	6075
TA0+09MnNiDR	6076
TA0+08AL	6077
TA1+Q235A	6078
TA1+Q235B	6079
TA1+Q235C	6080
TA1+Q355A	6081
TA1+Q355B	6082
TA1+Q355C	6083
TA1+Q245R	6084
TA1+Q345R	6085
TA1+15CrMoR	6086
TA1+09MnNiDR	6087
TA1+08AL	6088
TA2+Q235A	6089
TA2+Q235B	6090
TA2+Q235C	6091
TA2+Q355A	6092
TA2+Q355B	6093
TA2+Q355C	6094
TA2+Q245R	6095
TA2+Q345R	6096
TA2+15CrMoR	6097
TA2+09MnNiDR	6098
TA2+08AL	6099
TA9+Q235A	6100
TA9+Q235B	6101
TA9+Q235C	6102
TA9+Q355A	6103
TA9+Q355B	6104
TA9+Q355C	6105
TA9+Q245R	6106
TA9+Q345R	6107
TA9+15CrMoR	6108
TA9+09MnNiDR	6109
TA9+08AL	6110
TA10+Q235A	6111
TA10+Q235B	6112
TA10+Q235C	6113
TA10+Q355A	6114
TA10+Q355B	6115
TA10+Q355C	6116
TA10+Q245R	6117
TA10+Q345R	6118
TA10+15CrMoR	6119
TA10+09MnNiDR	6120
TA10+08AL	6121
TA1+304	6122
