			1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电缆入口	防护等级	过程连接	过程连接材质	膜片材质	填充油	量程	压力范围	精度	附加信息
36	绝压压力变送器	PMP51-NB21JB2PGBR1CB1+AK(0~10bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~10bar	0~10bar Abs	±0.15%	
37	绝压压力变送器	PMP51-AA21JB2SGBGMJA1+AK(0~16bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
38	绝压压力变送器	PMP51-AA21JB2SGBGMJA1+AK(0~25bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
39	绝压压力变送器	PMP51-AA21JB2SGBG1JA1+AK(0~16bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
40	绝压压力变送器	PMP51-AA21JB2SGBG1JA1+AK(0~25bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
41	绝压压力变送器	PMP51-AA21JB2SGBR1CB1+AK(0~16bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	0~16bar Abs	±0.15%	
42	绝压压力变送器	PMP51-AA21JB2SGBR1CB1+AK(0~25bar)	E+H	PMP51	普通绝压		非防爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	0~25bar Abs	±0.15%	
43	绝压压力变送器	PMP51-BC21JB2SGBGMJA1+AK(0~16bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
44	绝压压力变送器	PMP51-BC21JB2SGBGMJA1+AK(0~25bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
45	绝压压力变送器	PMP51-BC21JB2SGBG1JA1+AK(0~16bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
46	绝压压力变送器	PMP51-BC21JB2SGBG1JA1+AK(0~25bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
47	绝压压力变送器	PMP51-BC21JB2SGBR1CB1+AK(0~16bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	0~16bar Abs	±0.15%	
48	绝压压力变送器	PMP51-BC21JB2SGBR1CB1+AK(0~25bar)	E+H	PMP51	普通绝压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	0~25bar Abs	±0.15%	
49	绝压压力变送器	PMP51-NB21JB2SGBGMJA1+AK(0~16bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
50	绝压压力变送器	PMP51-NB21JB2SGBGMJA1+AK(0~25bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	G1/2外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
51	绝压压力变送器	PMP51-NB21JB2SGBG1JA1+AK(0~16bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~16bar	0~16bar Abs	±0.15%	
52	绝压压力变送器	PMP51-NB21JB2SGBG1JA1+AK(0~25bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	M20*1.5外螺纹	316L	316L	硅油	0~25bar	0~25bar Abs	±0.15%	
53	绝压压力变送器	PMP51-NB21JB2SGBR1CB1+AK(0~16bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	0~16bar Abs	±0.15%	
54	绝压压力变送器	PMP51-NB21JB2SGBR1CB1+AK(0~25bar)	E+H	PMP51	普通绝压	NEPSI Ex d IIC T6 Gb	隔爆	4-20mA HART	本地显示及操作	M20*1.5	IP66/IP68	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	0~25bar Abs	±0.15%	
