是否必填			1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	壳架电流	分断能力	脱扣器	极数	额定电流	控制器型号	控制器电压
47	双电源	ATS HSX100/80H 3P3D-UA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	80	UA	AC220V
48	双电源	ATS HSX100/100H 3P3D-UA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	100	UA	AC220V
49	双电源	ATS NSX100/40F 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	36KA	MIC 2.2	3P	40	BA	AC220V
50	双电源	ATS NSX100/100F 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	36KA	MIC 2.2	3P	100	BA	AC220V
51	双电源	ATS NSX100/40F 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	36KA	MIC 2.2	3P	40	UA	AC220V
52	双电源	ATS NSX100/100F 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	36KA	MIC 2.2	3P	100	UA	AC220V
53	双电源	ATS NSX100/40N 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	50KA	MIC 2.2	3P	40	BA	AC220V
54	双电源	ATS NSX100/100N 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	50KA	MIC 2.2	3P	100	BA	AC220V
55	双电源	ATS NSX100/40N 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	50KA	MIC 2.2	3P	40	UA	AC220V
56	双电源	ATS NSX100/100N 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	50KA	MIC 2.2	3P	100	UA	AC220V
57	双电源	ATS HSX100/40H 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	70KA	MIC 2.2	3P	40	BA	AC220V
58	双电源	ATS HSX100/100H 3P3D-BA AC220V MIC2.2	施耐德	ATS	100A	70KA	MIC 2.2	3P	100	BA	AC220V
59	双电源	ATS HSX100/40H 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	70KA	MIC 2.2	3P	40	UA	AC220V
60	双电源	ATS HSX100/100H 3P3D-UA AC220V MIC2.2	施耐德	ATS	100A	70KA	MIC 2.2	3P	100	UA	AC220V
61	双电源	ATS NSX160/80F 3P3D-BA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	80	BA	AC220V
62	双电源	ATS NSX160/100F 3P3D-BA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	100	BA	AC220V
63	双电源	ATS NSX160/125F 3P3D-BA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	125	BA	AC220V
64	双电源	ATS NSX160/160F 3P3D-BA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	160	BA	AC220V
65	双电源	ATS NSX160/80F 3P3D-UA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	80	UA	AC220V
66	双电源	ATS NSX160/100F 3P3D-UA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	100	UA	AC220V
67	双电源	ATS NSX160/125F 3P3D-UA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	125	UA	AC220V
68	双电源	ATS NSX160/160F 3P3D-UA AC220V TM-D	施耐德	ATS	160A	36KA	TM-D	3P	160	UA	AC220V
69	双电源	ATS NSX160/80N 3P3D-BA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	80	BA	AC220V
70	双电源	ATS NSX160/100N 3P3D-BA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	100	BA	AC220V
71	双电源	ATS NSX160/125N 3P3D-BA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	125	BA	AC220V
72	双电源	ATS NSX160/160N 3P3D-BA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	160	BA	AC220V
73	双电源	ATS NSX160/80N 3P3D-UA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	80	UA	AC220V
74	双电源	ATS NSX160/100N 3P3D-UA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	100	UA	AC220V
75	双电源	ATS NSX160/125N 3P3D-UA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	125	UA	AC220V
76	双电源	ATS NSX160/160N 3P3D-UA AC220V TM-D	施耐德	ATS	160A	50KA	TM-D	3P	160	UA	AC220V
77	双电源	ATS HSX160/80H 3P3D-BA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	80	BA	AC220V
78	双电源	ATS HSX160/100H 3P3D-BA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	100	BA	AC220V
79	双电源	ATS HSX160/125H 3P3D-BA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	125	BA	AC220V
80	双电源	ATS HSX160/160H 3P3D-BA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	160	BA	AC220V
81	双电源	ATS HSX160/80H 3P3D-UA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	80	UA	AC220V
82	双电源	ATS HSX160/100H 3P3D-UA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	100	UA	AC220V
83	双电源	ATS HSX160/125H 3P3D-UA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	125	UA	AC220V
84	双电源	ATS HSX160/160H 3P3D-UA AC220V TM-D	施耐德	ATS	160A	70KA	TM-D	3P	160	UA	AC220V
85	双电源	ATS NSX160/100F 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	36KA	MIC2.2	3P	100	BA	AC220V
86	双电源	ATS NSX160/160F 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	36KA	MIC2.2	3P	160	BA	AC220V
87	双电源	ATS NSX160/100N 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	50KA	MIC2.2	3P	100	BA	AC220V
88	双电源	ATS NSX160/160N 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	50KA	MIC2.2	3P	160	BA	AC220V
89	双电源	ATS HSX160/100H 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	70KA	MIC2.2	3P	100	BA	AC220V
90	双电源	ATS HSX160/160H 3P3D-BA AC220V MIC2.2	施耐德	ATS	160A	70KA	MIC2.2	3P	160	BA	AC220V
91	双电源	ATS NSX160/100F 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	36KA	MIC2.2	3P	100	UA	AC220V
92	双电源	ATS NSX160/160F 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	36KA	MIC2.2	3P	160	UA	AC220V
93	双电源	ATS NSX160/100N 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	50KA	MIC2.2	3P	100	UA	AC220V
94	双电源	ATS NSX160/160N 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	50KA	MIC2.2	3P	160	UA	AC220V
95	双电源	ATS HSX160/100H 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	70KA	MIC2.2	3P	100	UA	AC220V
96	双电源	ATS HSX160/160H 3P3D-UA AC220V MIC2.2	施耐德	ATS	160A	70KA	MIC2.2	3P	160	UA	AC220V
