是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
185	微型断路器	iC65 L-C 3A /2P	施耐德	iC65	标准断路器	15KA	C型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
186	微型断路器	iC65 L-C 4A /2P	施耐德	iC65	标准断路器	15KA	C型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
187	微型断路器	iC65 L-C 6A /2P	施耐德	iC65	标准断路器	15KA	C型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
188	微型断路器	iC65 L-C 10A /2P	施耐德	iC65	标准断路器	15KA	C型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
189	微型断路器	iC65 L-C 16A /2P	施耐德	iC65	标准断路器	15KA	C型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
190	微型断路器	iC65 L-C 20A /2P	施耐德	iC65	标准断路器	15KA	C型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
191	微型断路器	iC65 L-C 25A /2P	施耐德	iC65	标准断路器	15KA	C型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
192	微型断路器	iC65 L-C 32A /2P	施耐德	iC65	标准断路器	15KA	C型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
193	微型断路器	iC65 L-C 40A /2P	施耐德	iC65	标准断路器	15KA	C型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
194	微型断路器	iC65 L-C 50A /2P	施耐德	iC65	标准断路器	15KA	C型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
195	微型断路器	iC65 L-C 63A /2P	施耐德	iC65	标准断路器	15KA	C型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
196	微型断路器	iC65 N-C 1A /3P	施耐德	iC65	标准断路器	6KA	C型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
197	微型断路器	iC65 N-C 2A /3P	施耐德	iC65	标准断路器	6KA	C型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
198	微型断路器	iC65 N-C 3A /3P	施耐德	iC65	标准断路器	6KA	C型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
199	微型断路器	iC65 N-C 4A /3P	施耐德	iC65	标准断路器	6KA	C型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
200	微型断路器	iC65 N-C 6A /3P	施耐德	iC65	标准断路器	6KA	C型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
201	微型断路器	iC65 N-C 10A /3P	施耐德	iC65	标准断路器	6KA	C型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
202	微型断路器	iC65 N-C 16A /3P	施耐德	iC65	标准断路器	6KA	C型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
203	微型断路器	iC65 N-C 20A /3P	施耐德	iC65	标准断路器	6KA	C型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
204	微型断路器	iC65 N-C 25A /3P	施耐德	iC65	标准断路器	6KA	C型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
205	微型断路器	iC65 N-C 32A /3P	施耐德	iC65	标准断路器	6KA	C型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
206	微型断路器	iC65 N-C 40A /3P	施耐德	iC65	标准断路器	6KA	C型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
207	微型断路器	iC65 N-C 50A /3P	施耐德	iC65	标准断路器	6KA	C型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
208	微型断路器	iC65 N-C 63A /3P	施耐德	iC65	标准断路器	6KA	C型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
209	微型断路器	iC65 H-C 1A /3P	施耐德	iC65	标准断路器	10KA	C型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
210	微型断路器	iC65 H-C 2A /3P	施耐德	iC65	标准断路器	10KA	C型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
211	微型断路器	iC65 H-C 3A /3P	施耐德	iC65	标准断路器	10KA	C型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
212	微型断路器	iC65 H-C 4A /3P	施耐德	iC65	标准断路器	10KA	C型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
213	微型断路器	iC65 H-C 6A /3P	施耐德	iC65	标准断路器	10KA	C型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
214	微型断路器	iC65 H-C 10A /3P	施耐德	iC65	标准断路器	10KA	C型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
215	微型断路器	iC65 H-C 16A /3P	施耐德	iC65	标准断路器	10KA	C型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
216	微型断路器	iC65 H-C 20A /3P	施耐德	iC65	标准断路器	10KA	C型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
217	微型断路器	iC65 H-C 25A /3P	施耐德	iC65	标准断路器	10KA	C型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
218	微型断路器	iC65 H-C 32A /3P	施耐德	iC65	标准断路器	10KA	C型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
219	微型断路器	iC65 H-C 40A /3P	施耐德	iC65	标准断路器	10KA	C型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
220	微型断路器	iC65 H-C 50A /3P	施耐德	iC65	标准断路器	10KA	C型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
221	微型断路器	iC65 H-C 63A /3P	施耐德	iC65	标准断路器	10KA	C型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
222	微型断路器	iC65 L-C 1A /3P	施耐德	iC65	标准断路器	15KA	C型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
223	微型断路器	iC65 L-C 2A /3P	施耐德	iC65	标准断路器	15KA	C型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
224	微型断路器	iC65 L-C 3A /3P	施耐德	iC65	标准断路器	15KA	C型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
225	微型断路器	iC65 L-C 4A /3P	施耐德	iC65	标准断路器	15KA	C型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
226	微型断路器	iC65 L-C 6A /3P	施耐德	iC65	标准断路器	15KA	C型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
227	微型断路器	iC65 L-C 10A /3P	施耐德	iC65	标准断路器	15KA	C型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
228	微型断路器	iC65 L-C 16A /3P	施耐德	iC65	标准断路器	15KA	C型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
229	微型断路器	iC65 L-C 20A /3P	施耐德	iC65	标准断路器	15KA	C型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
230	微型断路器	iC65 L-C 25A /3P	施耐德	iC65	标准断路器	15KA	C型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
231	微型断路器	iC65 L-C 32A /3P	施耐德	iC65	标准断路器	15KA	C型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
232	微型断路器	iC65 L-C 40A /3P	施耐德	iC65	标准断路器	15KA	C型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
233	微型断路器	iC65 L-C 50A /3P	施耐德	iC65	标准断路器	15KA	C型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
234	微型断路器	iC65 L-C 63A /3P	施耐德	iC65	标准断路器	15KA	C型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
235	微型断路器	iC65 N-D 1A /1P	施耐德	iC65	标准断路器	6KA	D型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
236	微型断路器	iC65 N-D 2A /1P	施耐德	iC65	标准断路器	6KA	D型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
237	微型断路器	iC65 N-D 3A /1P	施耐德	iC65	标准断路器	6KA	D型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
238	微型断路器	iC65 N-D 4A /1P	施耐德	iC65	标准断路器	6KA	D型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
239	微型断路器	iC65 N-D 6A /1P	施耐德	iC65	标准断路器	6KA	D型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
240	微型断路器	iC65 N-D 10A /1P	施耐德	iC65	标准断路器	6KA	D型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
241	微型断路器	iC65 N-D 16A /1P	施耐德	iC65	标准断路器	6KA	D型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
242	微型断路器	iC65 N-D 20A /1P	施耐德	iC65	标准断路器	6KA	D型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
243	微型断路器	iC65 N-D 25A /1P	施耐德	iC65	标准断路器	6KA	D型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
244	微型断路器	iC65 N-D 32A /1P	施耐德	iC65	标准断路器	6KA	D型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
245	微型断路器	iC65 N-D 40A /1P	施耐德	iC65	标准断路器	6KA	D型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
246	微型断路器	iC65 N-D 50A /1P	施耐德	iC65	标准断路器	6KA	D型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
247	微型断路器	iC65 N-D 63A /1P	施耐德	iC65	标准断路器	6KA	D型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
248	微型断路器	iC65 H-D 1A /1P	施耐德	iC65	标准断路器	10KA	D型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
249	微型断路器	iC65 H-D 2A /1P	施耐德	iC65	标准断路器	10KA	D型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
250	微型断路器	iC65 H-D 3A /1P	施耐德	iC65	标准断路器	10KA	D型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
251	微型断路器	iC65 H-D 4A /1P	施耐德	iC65	标准断路器	10KA	D型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
252	微型断路器	iC65 H-D 6A /1P	施耐德	iC65	标准断路器	10KA	D型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
253	微型断路器	iC65 H-D 10A /1P	施耐德	iC65	标准断路器	10KA	D型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
254	微型断路器	iC65 H-D 16A /1P	施耐德	iC65	标准断路器	10KA	D型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
255	微型断路器	iC65 H-D 20A /1P	施耐德	iC65	标准断路器	10KA	D型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
256	微型断路器	iC65 H-D 25A /1P	施耐德	iC65	标准断路器	10KA	D型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
257	微型断路器	iC65 H-D 32A /1P	施耐德	iC65	标准断路器	10KA	D型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
258	微型断路器	iC65 H-D 40A /1P	施耐德	iC65	标准断路器	10KA	D型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
259	微型断路器	iC65 H-D 50A /1P	施耐德	iC65	标准断路器	10KA	D型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
260	微型断路器	iC65 H-D 63A /1P	施耐德	iC65	标准断路器	10KA	D型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
261	微型断路器	iC65 L-D 1A /1P	施耐德	iC65	标准断路器	15KA	D型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
262	微型断路器	iC65 L-D 2A /1P	施耐德	iC65	标准断路器	15KA	D型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
263	微型断路器	iC65 L-D 3A /1P	施耐德	iC65	标准断路器	15KA	D型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
264	微型断路器	iC65 L-D 4A /1P	施耐德	iC65	标准断路器	15KA	D型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
265	微型断路器	iC65 L-D 6A /1P	施耐德	iC65	标准断路器	15KA	D型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
266	微型断路器	iC65 L-D 10A /1P	施耐德	iC65	标准断路器	15KA	D型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
267	微型断路器	iC65 L-D 16A /1P	施耐德	iC65	标准断路器	15KA	D型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
268	微型断路器	iC65 L-D 20A /1P	施耐德	iC65	标准断路器	15KA	D型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
269	微型断路器	iC65 L-D 25A /1P	施耐德	iC65	标准断路器	15KA	D型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
270	微型断路器	iC65 L-D 32A /1P	施耐德	iC65	标准断路器	15KA	D型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
271	微型断路器	iC65 L-D 40A /1P	施耐德	iC65	标准断路器	15KA	D型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
272	微型断路器	iC65 L-D 50A /1P	施耐德	iC65	标准断路器	15KA	D型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
273	微型断路器	iC65 L-D 63A /1P	施耐德	iC65	标准断路器	15KA	D型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
274	微型断路器	iC65 N-D 1A /2P	施耐德	iC65	标准断路器	6KA	D型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
275	微型断路器	iC65 N-D 2A /2P	施耐德	iC65	标准断路器	6KA	D型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
276	微型断路器	iC65 N-D 3A /2P	施耐德	iC65	标准断路器	6KA	D型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
277	微型断路器	iC65 N-D 4A /2P	施耐德	iC65	标准断路器	6KA	D型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
278	微型断路器	iC65 N-D 6A /2P	施耐德	iC65	标准断路器	6KA	D型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
279	微型断路器	iC65 N-D 10A /2P	施耐德	iC65	标准断路器	6KA	D型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
280	微型断路器	iC65 N-D 16A /2P	施耐德	iC65	标准断路器	6KA	D型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
281	微型断路器	iC65 N-D 20A /2P	施耐德	iC65	标准断路器	6KA	D型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
282	微型断路器	iC65 N-D 25A /2P	施耐德	iC65	标准断路器	6KA	D型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
283	微型断路器	iC65 N-D 32A /2P	施耐德	iC65	标准断路器	6KA	D型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
284	微型断路器	iC65 N-D 40A /2P	施耐德	iC65	标准断路器	6KA	D型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
285	微型断路器	iC65 N-D 50A /2P	施耐德	iC65	标准断路器	6KA	D型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
286	微型断路器	iC65 N-D 63A /2P	施耐德	iC65	标准断路器	6KA	D型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
287	微型断路器	iC65 H-D 1A /2P	施耐德	iC65	标准断路器	10KA	D型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
288	微型断路器	iC65 H-D 2A /2P	施耐德	iC65	标准断路器	10KA	D型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
289	微型断路器	iC65 H-D 3A /2P	施耐德	iC65	标准断路器	10KA	D型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
290	微型断路器	iC65 H-D 4A /2P	施耐德	iC65	标准断路器	10KA	D型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
291	微型断路器	iC65 H-D 6A /2P	施耐德	iC65	标准断路器	10KA	D型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
292	微型断路器	iC65 H-D 10A /2P	施耐德	iC65	标准断路器	10KA	D型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
293	微型断路器	iC65 H-D 16A /2P	施耐德	iC65	标准断路器	10KA	D型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
294	微型断路器	iC65 H-D 20A /2P	施耐德	iC65	标准断路器	10KA	D型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
295	微型断路器	iC65 H-D 25A /2P	施耐德	iC65	标准断路器	10KA	D型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
296	微型断路器	iC65 H-D 32A /2P	施耐德	iC65	标准断路器	10KA	D型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
297	微型断路器	iC65 H-D 40A /2P	施耐德	iC65	标准断路器	10KA	D型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
298	微型断路器	iC65 H-D 50A /2P	施耐德	iC65	标准断路器	10KA	D型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
299	微型断路器	iC65 H-D 63A /2P	施耐德	iC65	标准断路器	10KA	D型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
300	微型断路器	iC65 L-D 1A /2P	施耐德	iC65	标准断路器	15KA	D型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
301	微型断路器	iC65 L-D 2A /2P	施耐德	iC65	标准断路器	15KA	D型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
302	微型断路器	iC65 L-D 3A /2P	施耐德	iC65	标准断路器	15KA	D型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
303	微型断路器	iC65 L-D 4A /2P	施耐德	iC65	标准断路器	15KA	D型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
304	微型断路器	iC65 L-D 6A /2P	施耐德	iC65	标准断路器	15KA	D型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
305	微型断路器	iC65 L-D 10A /2P	施耐德	iC65	标准断路器	15KA	D型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
306	微型断路器	iC65 L-D 16A /2P	施耐德	iC65	标准断路器	15KA	D型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
307	微型断路器	iC65 L-D 20A /2P	施耐德	iC65	标准断路器	15KA	D型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
308	微型断路器	iC65 L-D 25A /2P	施耐德	iC65	标准断路器	15KA	D型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
309	微型断路器	iC65 L-D 32A /2P	施耐德	iC65	标准断路器	15KA	D型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
310	微型断路器	iC65 L-D 40A /2P	施耐德	iC65	标准断路器	15KA	D型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
311	微型断路器	iC65 L-D 50A /2P	施耐德	iC65	标准断路器	15KA	D型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
312	微型断路器	iC65 L-D 63A /2P	施耐德	iC65	标准断路器	15KA	D型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
313	微型断路器	iC65 N-D 1A /3P	施耐德	iC65	标准断路器	6KA	D型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
314	微型断路器	iC65 N-D 2A /3P	施耐德	iC65	标准断路器	6KA	D型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
315	微型断路器	iC65 N-D 3A /3P	施耐德	iC65	标准断路器	6KA	D型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
316	微型断路器	iC65 N-D 4A /3P	施耐德	iC65	标准断路器	6KA	D型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
317	微型断路器	iC65 N-D 6A /3P	施耐德	iC65	标准断路器	6KA	D型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
318	微型断路器	iC65 N-D 10A /3P	施耐德	iC65	标准断路器	6KA	D型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
319	微型断路器	iC65 N-D 16A /3P	施耐德	iC65	标准断路器	6KA	D型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
320	微型断路器	iC65 N-D 20A /3P	施耐德	iC65	标准断路器	6KA	D型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
321	微型断路器	iC65 N-D 25A /3P	施耐德	iC65	标准断路器	6KA	D型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
322	微型断路器	iC65 N-D 32A /3P	施耐德	iC65	标准断路器	6KA	D型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
323	微型断路器	iC65 N-D 40A /3P	施耐德	iC65	标准断路器	6KA	D型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
324	微型断路器	iC65 N-D 50A /3P	施耐德	iC65	标准断路器	6KA	D型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
325	微型断路器	iC65 N-D 63A /3P	施耐德	iC65	标准断路器	6KA	D型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
326	微型断路器	iC65 H-D 1A /3P	施耐德	iC65	标准断路器	10KA	D型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
327	微型断路器	iC65 H-D 2A /3P	施耐德	iC65	标准断路器	10KA	D型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
328	微型断路器	iC65 H-D 3A /3P	施耐德	iC65	标准断路器	10KA	D型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
329	微型断路器	iC65 H-D 4A /3P	施耐德	iC65	标准断路器	10KA	D型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
330	微型断路器	iC65 H-D 6A /3P	施耐德	iC65	标准断路器	10KA	D型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
331	微型断路器	iC65 H-D 10A /3P	施耐德	iC65	标准断路器	10KA	D型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
332	微型断路器	iC65 H-D 16A /3P	施耐德	iC65	标准断路器	10KA	D型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
333	微型断路器	iC65 H-D 20A /3P	施耐德	iC65	标准断路器	10KA	D型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
334	微型断路器	iC65 H-D 25A /3P	施耐德	iC65	标准断路器	10KA	D型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
335	微型断路器	iC65 H-D 32A /3P	施耐德	iC65	标准断路器	10KA	D型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
336	微型断路器	iC65 H-D 40A /3P	施耐德	iC65	标准断路器	10KA	D型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
337	微型断路器	iC65 H-D 50A /3P	施耐德	iC65	标准断路器	10KA	D型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
338	微型断路器	iC65 H-D 63A /3P	施耐德	iC65	标准断路器	10KA	D型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
339	微型断路器	iC65 L-D 1A /3P	施耐德	iC65	标准断路器	15KA	D型	1A	3P	无漏电保护	无漏电保护	无脱扣附件
340	微型断路器	iC65 L-D 2A /3P	施耐德	iC65	标准断路器	15KA	D型	2A	3P	无漏电保护	无漏电保护	无脱扣附件
341	微型断路器	iC65 L-D 3A /3P	施耐德	iC65	标准断路器	15KA	D型	3A	3P	无漏电保护	无漏电保护	无脱扣附件
342	微型断路器	iC65 L-D 4A /3P	施耐德	iC65	标准断路器	15KA	D型	4A	3P	无漏电保护	无漏电保护	无脱扣附件
343	微型断路器	iC65 L-D 6A /3P	施耐德	iC65	标准断路器	15KA	D型	6A	3P	无漏电保护	无漏电保护	无脱扣附件
344	微型断路器	iC65 L-D 10A /3P	施耐德	iC65	标准断路器	15KA	D型	10A	3P	无漏电保护	无漏电保护	无脱扣附件
345	微型断路器	iC65 L-D 16A /3P	施耐德	iC65	标准断路器	15KA	D型	16A	3P	无漏电保护	无漏电保护	无脱扣附件
346	微型断路器	iC65 L-D 20A /3P	施耐德	iC65	标准断路器	15KA	D型	20A	3P	无漏电保护	无漏电保护	无脱扣附件
347	微型断路器	iC65 L-D 25A /3P	施耐德	iC65	标准断路器	15KA	D型	25A	3P	无漏电保护	无漏电保护	无脱扣附件
348	微型断路器	iC65 L-D 32A /3P	施耐德	iC65	标准断路器	15KA	D型	32A	3P	无漏电保护	无漏电保护	无脱扣附件
349	微型断路器	iC65 L-D 40A /3P	施耐德	iC65	标准断路器	15KA	D型	40A	3P	无漏电保护	无漏电保护	无脱扣附件
350	微型断路器	iC65 L-D 50A /3P	施耐德	iC65	标准断路器	15KA	D型	50A	3P	无漏电保护	无漏电保护	无脱扣附件
351	微型断路器	iC65 L-D 63A /3P	施耐德	iC65	标准断路器	15KA	D型	63A	3P	无漏电保护	无漏电保护	无脱扣附件
352	微型断路器	iC65 N-D 10A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	10A	2P	VE:电子式AC类	30mA	无脱扣附件
353	微型断路器	iC65 N-D 16A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	16A	2P	VE:电子式AC类	30mA	无脱扣附件
354	微型断路器	iC65 N-D 20A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	20A	2P	VE:电子式AC类	30mA	无脱扣附件
355	微型断路器	iC65 N-D 25A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	25A	2P	VE:电子式AC类	30mA	无脱扣附件
356	微型断路器	iC65 N-D 32A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	32A	2P	VE:电子式AC类	30mA	无脱扣附件
357	微型断路器	iC65 N-D 40A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	40A	2P	VE:电子式AC类	30mA	无脱扣附件
358	微型断路器	iC65 N-D 50A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	50A	2P	VE:电子式AC类	30mA	无脱扣附件
359	微型断路器	iC65 N-D 63A /2P + VE 30mA	施耐德	iC65	标准断路器	6KA	D型	63A	2P	VE:电子式AC类	30mA	无脱扣附件
360	微型断路器	iC65 H-D 10A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	10A	2P	VE:电子式AC类	30mA	无脱扣附件
361	微型断路器	iC65 H-D 16A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	16A	2P	VE:电子式AC类	30mA	无脱扣附件
362	微型断路器	iC65 H-D 20A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	20A	2P	VE:电子式AC类	30mA	无脱扣附件
363	微型断路器	iC65 H-D 25A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	25A	2P	VE:电子式AC类	30mA	无脱扣附件
364	微型断路器	iC65 H-D 32A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	32A	2P	VE:电子式AC类	30mA	无脱扣附件
365	微型断路器	iC65 H-D 40A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	40A	2P	VE:电子式AC类	30mA	无脱扣附件
366	微型断路器	iC65 H-D 50A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	50A	2P	VE:电子式AC类	30mA	无脱扣附件
367	微型断路器	iC65 H-D 63A /2P + VE 30mA	施耐德	iC65	标准断路器	10KA	D型	63A	2P	VE:电子式AC类	30mA	无脱扣附件
368	微型断路器	iC65 L-D 10A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	10A	2P	VE:电子式AC类	30mA	无脱扣附件
369	微型断路器	iC65 L-D 16A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	16A	2P	VE:电子式AC类	30mA	无脱扣附件
370	微型断路器	iC65 L-D 20A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	20A	2P	VE:电子式AC类	30mA	无脱扣附件
371	微型断路器	iC65 L-D 25A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	25A	2P	VE:电子式AC类	30mA	无脱扣附件
372	微型断路器	iC65 L-D 32A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	32A	2P	VE:电子式AC类	30mA	无脱扣附件
373	微型断路器	iC65 L-D 40A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	40A	2P	VE:电子式AC类	30mA	无脱扣附件
374	微型断路器	iC65 L-D 50A /2P + VE 30mA	施耐德	iC65	标准断路器	15KA	D型	50A	2P	VE:电子式AC类	30mA	无脱扣附件
