是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
43	微型断路器	iC65 N-B 4A /2P	施耐德	iC65	标准断路器	6KA	B型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
44	微型断路器	iC65 N-B 6A /2P	施耐德	iC65	标准断路器	6KA	B型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
45	微型断路器	iC65 N-B 10A /2P	施耐德	iC65	标准断路器	6KA	B型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
46	微型断路器	iC65 N-B 16A /2P	施耐德	iC65	标准断路器	6KA	B型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
47	微型断路器	iC65 N-B 20A /2P	施耐德	iC65	标准断路器	6KA	B型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
48	微型断路器	iC65 N-B 25A /2P	施耐德	iC65	标准断路器	6KA	B型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
49	微型断路器	iC65 N-B 32A /2P	施耐德	iC65	标准断路器	6KA	B型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
50	微型断路器	iC65 N-B 40A /2P	施耐德	iC65	标准断路器	6KA	B型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
51	微型断路器	iC65 N-B 50A /2P	施耐德	iC65	标准断路器	6KA	B型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
52	微型断路器	iC65 N-B 63A /2P	施耐德	iC65	标准断路器	6KA	B型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
53	微型断路器	iC65 H-B 1A /2P	施耐德	iC65	标准断路器	10KA	B型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
54	微型断路器	iC65 H-B 2A /2P	施耐德	iC65	标准断路器	10KA	B型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
55	微型断路器	iC65 H-B 3A /2P	施耐德	iC65	标准断路器	10KA	B型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
56	微型断路器	iC65 H-B 4A /2P	施耐德	iC65	标准断路器	10KA	B型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
57	微型断路器	iC65 H-B 6A /2P	施耐德	iC65	标准断路器	10KA	B型	6A	2P	无漏电保护	无漏电保护	无脱扣附件
58	微型断路器	iC65 H-B 10A /2P	施耐德	iC65	标准断路器	10KA	B型	10A	2P	无漏电保护	无漏电保护	无脱扣附件
59	微型断路器	iC65 H-B 16A /2P	施耐德	iC65	标准断路器	10KA	B型	16A	2P	无漏电保护	无漏电保护	无脱扣附件
60	微型断路器	iC65 H-B 20A /2P	施耐德	iC65	标准断路器	10KA	B型	20A	2P	无漏电保护	无漏电保护	无脱扣附件
61	微型断路器	iC65 H-B 25A /2P	施耐德	iC65	标准断路器	10KA	B型	25A	2P	无漏电保护	无漏电保护	无脱扣附件
62	微型断路器	iC65 H-B 32A /2P	施耐德	iC65	标准断路器	10KA	B型	32A	2P	无漏电保护	无漏电保护	无脱扣附件
63	微型断路器	iC65 H-B 40A /2P	施耐德	iC65	标准断路器	10KA	B型	40A	2P	无漏电保护	无漏电保护	无脱扣附件
64	微型断路器	iC65 H-B 50A /2P	施耐德	iC65	标准断路器	10KA	B型	50A	2P	无漏电保护	无漏电保护	无脱扣附件
65	微型断路器	iC65 H-B 63A /2P	施耐德	iC65	标准断路器	10KA	B型	63A	2P	无漏电保护	无漏电保护	无脱扣附件
66	微型断路器	iC65 L-B 1A /2P	施耐德	iC65	标准断路器	15KA	B型	1A	2P	无漏电保护	无漏电保护	无脱扣附件
67	微型断路器	iC65 L-B 2A /2P	施耐德	iC65	标准断路器	15KA	B型	2A	2P	无漏电保护	无漏电保护	无脱扣附件
68	微型断路器	iC65 L-B 3A /2P	施耐德	iC65	标准断路器	15KA	B型	3A	2P	无漏电保护	无漏电保护	无脱扣附件
69	微型断路器	iC65 L-B 4A /2P	施耐德	iC65	标准断路器	15KA	B型	4A	2P	无漏电保护	无漏电保护	无脱扣附件
