是否必填			1	1	1	0	0	0	0	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	浮球式样	本体管	翻板指示器	外型结构-上端型式	外型结构-下端型式	压力范围	量程	传送器	刻度尺
21	磁翻板液位计	EF311B1K1-2100XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2100mm	铝合金烤漆外壳	金属
22	磁翻板液位计	EF311B1K1-2200XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2200mm	铝合金烤漆外壳	金属
23	磁翻板液位计	EF311B1K1-2400XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2400mm	铝合金烤漆外壳	金属
24	磁翻板液位计	EF311B1K1-2600XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2600mm	铝合金烤漆外壳	金属
25	磁翻板液位计	EF311B1K1-2800XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	2800mm	铝合金烤漆外壳	金属
26	磁翻板液位计	EF311B1K1-3000XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3000mm	铝合金烤漆外壳	金属
27	磁翻板液位计	EF311B1K1-3200XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3200mm	铝合金烤漆外壳	金属
28	磁翻板液位计	EF311B1K1-3400XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3400mm	铝合金烤漆外壳	金属
29	磁翻板液位计	EF311B1K1-3600XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	3600mm	铝合金烤漆外壳	金属
30	磁翻板液位计	EFA11B1K1-0450XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	450mm	铝合金烤漆外壳	金属
31	磁翻板液位计	EFA11B1K1-0550XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	550mm	铝合金烤漆外壳	金属
32	磁翻板液位计	EFA11B1K1-0650XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	650mm	铝合金烤漆外壳	金属
33	磁翻板液位计	EFA11B1K1-0750XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	750mm	铝合金烤漆外壳	金属
34	磁翻板液位计	EFA11B1K1-0500XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	500mm	铝合金烤漆外壳	金属
35	磁翻板液位计	EFA11B1K1-0600XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2560(SUS316),比重0.75	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	600mm	铝合金烤漆外壳	金属
