是否必填			1	1	1	1	1	1	1	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	接液材质	填充油	信号输出	显示及操作	电缆入口	防爆认证	传感器额定量程	精度	结构材料
16	静压式液位变送器	PMP51-NB21JB1KGCCZJA1+AK	E+H	PMP51-NB	CDN80PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	NEPSI Ex d IIC T6 Gb	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
17	静压式液位变送器	PMP51-NB21JB1HGCGTJA1+AK	E+H	PMP51-NB	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	NEPSI Ex d IIC T6 Gb	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
18	静压式液位变送器	PMP51-NB21JB1KGCGTJA1+AK	E+H	PMP51-NB	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	NEPSI Ex d IIC T6 Gb	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
19	静压式液位变送器	PMP55-AA21JB1HGCGTCA1A+AK	E+H	PMP55	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
20	静压式液位变送器	PMP55-AA21JB1KGCGTCA1A+AK	E+H	PMP55	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
21	静压式液位变送器	PMP55-BC21JB1HGCGTCA1A+AK	E+H	PMP55-BC	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
22	静压式液位变送器	PMP55-BC21JB1KGCGTCA1A+AK	E+H	PMP55-BC	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
23	静压式液位变送器	PMP55-NB21JB1HGCGTCA1A+AK	E+H	PMP55-NB	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	NEPSI Ex d IIC T6 Gb	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
24	静压式液位变送器	PMP55-NB21JB1KGCGTCA1A+AK	E+H	PMP55-NB	G螺纹ISO228 G1,AlloyC, 齐平式安装	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	NEPSI Ex d IIC T6 Gb	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
25	静压式液位变送器	EJA210E-JMS5J-919EN-WH22B2WW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),304 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
26	静压式液位变送器	EJA210E-JHS5J-919EN-WH22B2WW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),304 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
27	静压式液位变送器	EJA210E-JMS5J-919EN-WH22C2WW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
28	静压式液位变送器	EJA210E-JHS5J-919EN-WH22C2WW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
29	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2HW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
30	静压式液位变送器	EJA210E-JHS5G-919EN-WH22C2HW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
31	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2TW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
32	静压式液位变送器	EJA210E-JHS5G-919EN-WH22C2TW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
33	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2UW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钛;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
