是否必填			1	1	1	1	1	1	1	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	接液材质	填充油	信号输出	显示及操作	电缆入口	防爆认证	传感器额定量程	精度	结构材料
34	静压式液位变送器	EJA210E-JHS5G-919EN-WH22C2UW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钛;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
35	静压式液位变送器	EJA210E-JMS5J-919EN-WH23B2SW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),304 SST	膜片和其他-316 SST;(对应DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
36	静压式液位变送器	EJA210E-JHS5J-919EN-WH23B2SW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),304 SST	膜片和其他-316 SST;(对应DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
37	静压式液位变送器	EJA210E-JMS5J-919EN-WH23C2SW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-316 SST;(对应DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
38	静压式液位变送器	EJA210E-JHS5J-919EN-WH23C2SW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-316 SST;(对应DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
39	静压式液位变送器	EJA210E-JMS5G-919EN-WH23C2HW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
40	静压式液位变送器	EJA210E-JHS5G-919EN-WH23C2HW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
41	静压式液位变送器	EJA210E-JMS5G-919EN-WH23C2TW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
42	静压式液位变送器	EJA210E-JHS5G-919EN-WH23C2TW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
43	静压式液位变送器	EJA210E-JMS5G-919EN-WH23C2UW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-钛;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
44	静压式液位变送器	EJA210E-JHS5G-919EN-WH23C2UW00-B	横河川仪	EJA210E	平法兰,HG20592 PN10/16,3-inch(80mm),316 SST	膜片和其他-钛;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	无认证	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
45	静压式液位变送器	EJA210E-JMS5J-919EN-WH22B2WW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),304 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
46	静压式液位变送器	EJA210E-JHS5J-919EN-WH22B2WW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),304 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
47	静压式液位变送器	EJA210E-JMS5J-919EN-WH22C2WW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
48	静压式液位变送器	EJA210E-JHS5J-919EN-WH22C2WW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片哈氏合金C-276; 其它316 SST;(对应DN50法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(B7(普通场合选用此即可))
49	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2HW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
50	静压式液位变送器	EJA210E-JHS5G-919EN-WH22C2HW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-哈氏合金C-276;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
51	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2TW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
52	静压式液位变送器	EJA210E-JHS5G-919EN-WH22C2TW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钽;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	5kPa至500kPa(20至2000inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
53	静压式液位变送器	EJA210E-JMS5G-919EN-WH22C2UW00-B/NF2	横河川仪	EJA210E	平法兰,HG20592 PN10/16,2-inch(50mm),316 SST	膜片和其他-钛;(对应DN50和DN80法兰)	硅油-40~120℃	2线,4~20mA HART	本地显示及操作	M20内螺纹,两个电气接口带一个盲塞	NEPSI Ex d IIC T4~T6 Gb	1kPa至100kPa(4至400inH2O)		膜盒低压侧(ASTM CF-8M(法兰和过程接头);膜片哈氏合金C-276; 其它F316L SST) 低压侧过程连接(无过程接头(容室法兰上有1/4 NPT 内螺纹)) 容室法兰螺栓螺母材质(316L SST)
